operateur;annee;filiere;consoa;pdla;nombre_maille_secretisees_a;indquala;consoi;pdli;nombre_maille_secretisees_i;indquali;consot;pdlt;nombre_maille_secretisees_t;indqualt;consor;pdlr;nombre_maille_secretisees_r;indqualr;consona;pdlna;nombre_maille_secretisees_na;indqualna;code_departement;libelle_departement;code_region;libelle_region;id_filiere;geom;consototale
Enedis;2011;Electricité;28496.17;280;0;0.943;1180989.65;1412;0;0.964;737572.47;3040;0;0.932;1977574.54;313211;0;0.303;37947.56;39;0;0.829;01;Ain;84;Auvergne-Rhône-Alpes;100;;3962580.39
Enedis;2011;Electricité;5096.35;66;0;0.86;348627.93;893;0;0.903;2104796.95;8006;0;0.923;4113958.18;823968;1;0.354;12681.93;134;0;0.562;06;Alpes-Maritimes;93;Provence-Alpes-Côte d'Azur;100;;6585161.34
Enedis;2011;Electricité;5209.86;50;0;0.926;403223.45;550;0;0.948;274104.16;1515;0;0.929;1087970.74;204849;0;0.322;500.77;20;0;0.729;07;Ardèche;84;Auvergne-Rhône-Alpes;100;;1771008.98
Enedis;2011;Electricité;2701.12;88;0;0.986;108932.81;183;0;0.926;126218.43;670;0;0.892;466667.83;102216;0;0.318;1232.48;67;0;0.893;09;Ariège;76;Occitanie;100;;705752.6699999999
Enedis;2011;Electricité;2392.61;34;0;0.903;246744.23;488;0;0.937;327305.5;1388;0;0.941;826628.46;161502;0;0.327;801.83;16;0;0.711;19;Corrèze;75;Nouvelle-Aquitaine;100;;1403872.63
Enedis;2011;Electricité;10297.88;159;0;0.922;641759.83;763;0;0.953;797565.37;3074;0;0.941;1543838.91;307162;0;0.362;5893.11;60;0;0.649;21;Côte-d'Or;27;Bourgogne-Franche-Comté;100;;2999355.1
Enedis;2011;Electricité;47817.92;414;0;0.925;607859.06;953;0;0.943;700099.23;2743;0;0.929;1613428.55;283739;3;0.341;1939.26;64;0;0.579;26;Drôme;84;Auvergne-Rhône-Alpes;100;;2971144.0199999996
Enedis;2011;Electricité;101767.48;1245;0;0.983;450419.98;489;0;0.958;374448.16;1618;0;0.941;977707.49;155799;1;0.323;1254.41;18;0;0.637;28;Eure-et-Loir;24;Centre-Val de Loire;100;;1905597.5199999998
Enedis;2011;Electricité;15934.44;384;0;0.965;705515.11;1388;0;0.923;2111095.52;6860;0;0.913;3824515.75;713220;1;0.318;8630.51;149;0;0.697;31;Haute-Garonne;76;Occitanie;100;;6665691.33
Enedis;2011;Electricité;62859.54;372;0;0.907;1286951.63;1286;0;0.957;1376745.74;5024;0;0.94;3012727.26;554196;0;0.341;2645.53;91;0;0.64;35;Ille-et-Vilaine;53;Bretagne;100;;5741929.7
Enedis;2011;Electricité;86489.72;501;0;0.954;524339.43;755;0;0.944;800130.9;3285;0;0.932;1936743.77;338723;0;0.387;1674.98;62;0;0.772;37;Indre-et-Loire;24;Centre-Val de Loire;100;;3349378.8000000003
Enedis;2011;Electricité;3480.73;39;0;0.912;518301.89;704;0;0.949;265267.04;1255;0;0.913;803997.66;158190;2;0.33;855.99;22;0;0.611;39;Jura;27;Bourgogne-Franche-Comté;100;;1591903.3099999998
Enedis;2011;Electricité;64828.49;335;0;0.931;1339398.88;1621;0;0.953;1707499.36;6290;0;0.942;3958200.58;747260;1;0.335;2585.57;81;0;0.527;44;Loire-Atlantique;52;Pays de la Loire;100;;7072512.880000001
Enedis;2011;Electricité;43639.62;595;0;0.932;360908.66;640;0;0.946;432569.62;1665;0;0.914;1163322.61;194007;0;0.308;1443.58;43;0;0.871;47;Lot-et-Garonne;75;Nouvelle-Aquitaine;100;;2001884.09
Enedis;2011;Electricité;138180.77;784;0;0.946;955327.61;1351;0;0.963;987916.98;3963;0;0.942;2418706.1;414294;1;0.339;1407.72;57;0;0.737;49;Maine-et-Loire;52;Pays de la Loire;100;;4501539.18
Enedis;2011;Electricité;32791.09;175;0;0.912;551924.68;645;0;0.944;546287.41;2331;0;0.939;1882743.82;305052;1;0.308;712.21;33;0;0.931;50;Manche;28;Normandie;100;;3014459.21
